Datasets;SVM linear;SVM linear std;SVM poly;SVM poly std;SVM gauss;SVM gauss std;KNN;KNN std;Arbre de decision;Arbre de decision std;Adaboost;Adaboost std;Gradient boosting;Gradient boosting std;Temps Traitement
15.74% abalone8;0.7208287304142539;0.7208287304142539;0;0;0;0;0.8105361055528737;0.0221079414697473;0.8351318762362714;0.008072481709755936;0.8097293501022443;0.006434666490672563;0.8343267899432065;0.005561326177488618;0.006401971423266721
1.41% abalone17;0.7736408241914645;0.7736408241914645;0;0;0;0;0.9341895212106269;0.012130863093188973;0.957573572317101;0.006449831242730028;0.922166509225859;0.004476904223665956;0.950631690518365;0.004356972661759907;0.006618442870343902
0.63% abalone20;0.8994510335031004;0.8994510335031004;0;0;0;0;0.9574062047255648;0.009770416275571589;0.9746672899434732;0.003679303712835246;0.9707082882719975;0.002369856993841709;0.9709978288767488;0.003099171698224264;0.007615599997474679
60.00% autompg;0.6303768436184739;0.6303768436184739;0;0;0;0;0.7052300016317197;0.06477187995836475;0.8324181370006674;0.038529876166296405;1.0;0.0;0.8879513174302855;0.027179421603778592;0.001985228553946529
80.16% australian;0.5270264897461817;0.5270264897461817;0;0;0;0;0.540359970425776;0.049972127313768044;0.7748614362192778;0.029904144479436935;0.9929199013696518;0.0094607188595159;0.8356584121785907;0.016709408061148803;0.002308428578544408
85.46% balance;0.9270597179858957;0.9270597179858957;0;0;0;0;0.8728591972140893;0.042695062382464476;0.8652301844757314;0.015586287182199045;1.0;0.0;0.8954768166642431;0.013122401449443377;0.002010028559847602
13.25% bankmarketing;0.7180657393800357;0.7180657393800357;0;0;0;0;0.872425584805176;0.013774343193485248;0.9272098572281553;0.0018889470647125014;0.940611981631881;0.0012150765830332695;0.9445745575057408;0.0014043350868302663;0.6095754714083991
72.50% bupa;0.4240839600737182;0.4240839600737182;0;0;0;0;0.4727335521682213;0.07025126861678127;0.5694201200772238;0.06566823120325746;1.0;0.0;0.646339327300198;0.05065603938047153;0.004638971444884581
42.86% german;0.3539367168396402;0.3539367168396402;0;0;0;0;0.3412005268827828;0.08041599709385454;0.4791252063535641;0.04001043018347302;0.7753563589059078;0.022985629379271483;0.543569034476729;0.03295454863100583;0.0067673857140886995
48.61% glass;0.16475375877046444;0.16475375877046444;0;0;0;0;0.67047594786817;0.0716494066368014;0.7357693393365791;0.059734489131354526;1.0;0.0;0.754220929761757;0.023378547119902192;0.007517671412123101
29.41% hayes;0.7121969696969697;0.7121969696969697;0;0;0;0;0.5283968972204266;0.2329091321328229;1.0;0.0;1.0;0.0;1.0;0.0;0.004642128586835627
80.00% heart;0.6137016049899764;0.6137016049899764;0;0;0;0;0.5257587954028599;0.059085428805908245;0.7343015962118729;0.05049276012829858;1.0;0.0;0.7486525639421964;0.061349618309581605;0.004045999991441411
56.00% iono;0.7729061583697017;0.7729061583697017;0;0;0;0;0.6883772791465634;0.08333001510638745;0.8055130331124019;0.04072817467197213;1.0;0.0;0.8881695024018104;0.0262786110657206;0.005000671421709869
7.14% libras;0.9716506276339084;0.9716506276339084;0;0;0;0;0.9802408240780265;0.011387476078868572;0.9748780704158403;0.008048964113880949;1.0;0.0;0.9930642590102698;0.005519819676439753;0.004117100000647562
43.33% newthyroid;0.7071571993478687;0.7071571993478687;0;0;0;0;0.8202398088546096;0.07541940363564333;0.8908008019927525;0.04555323961101576;1.0;0.0;0.9199487210106072;0.03048257991416117;0.004209671418980828
11.40% pageblocks;0.853164716848877;0.853164716848877;0;0;0;0;0.96970127284642;0.005165946651862243;0.9736933540291135;0.003319281651319177;0.9799790216857186;0.003849893857333653;0.9780986347807751;0.002544537758046338;0.010921657168572503
53.60% pima;0.2804592649020502;0.2804592649020502;0;0;0;0;0.5321497259516137;0.0674634956775157;0.5603937476695269;0.05154225562685996;0.9589821700077312;0.020426941314101794;0.6194762804567158;0.039713793826651245;0.003173557135076927
10.78% satimage;0.6691872249764813;0.6691872249764813;0;0;0;0;0.9403574217822614;0.012582901068842113;0.9403428339290413;0.003524493737272435;0.9506329645520581;0.0046332438079896895;0.9429403924273089;0.0029647520079244803;0.023643414273725023
87.39% sonar;0.746533865669556;0.746533865669556;0;0;0;0;0.6658932459837216;0.07079217549173926;0.6912493862901954;0.046916094025488755;1.0;0.0;0.8027227651440366;0.05560223758515637;0.002884857148663806
65.06% spambase;0.7040572383112377;0.7040572383112377;0;0;0;0;0.7254084534316669;0.026284915939541405;0.8879845084198583;0.014009083484817421;0.9756294455431602;0.004400276509695958;0.9293020500759643;0.00960236596901857;0.011958342852137451
92.66% splice;0.7494541837309808;0.7494541837309808;0;0;0;0;0.7906803135779257;0.016901045045823647;0.9341112983834522;0.007555334669077627;0.97227517654662;0.008104066891717462;0.9675487788299859;0.003159082983851953;0.014020700007677078
30.76% vehicle;0.7098050878759836;0.7098050878759836;0;0;0;0;0.8420210668689672;0.04760590865719028;0.8358091750698808;0.0214315683288346;1.0;0.0;0.9110715196317061;0.009849789840125961;0.0035315285702901228
59.38% wdbc;0.8734591851135706;0.8734591851135706;0;0;0;0;0.8924402988519422;0.019297472640787093;0.9045960195004152;0.029170368422336924;1.0;0.0;0.9523363546169896;0.015956897814048125;0.003393528567227934
